feature,importance
daily_summary_fog,0.32690904
precip_snow,0.28585672
temperature,0.070701055
daily_summary_wind,0.06842433
humidity,0.05597001
daily_summary_cloudy,0.048330773
summary_fog,0.035682354
precip_rain,0.02708314
visibility,0.012154632
heat_index,0.008931256
pressure_deviation,0.00867081
temp_humidity_interaction,0.008263862
wind_chill,0.0077211084
summary_wind,0.006612207
daily_summary_rain,0.0061248927
wind_speed,0.0047896695
pressure,0.0045610396
summary_rain,0.004309582
apparent_temperature,0.0023283993
daily_summary_clear,0.0021746156
temp_difference,0.0019167685
summary_cloudy,0.0007755467
wind_visibility_interaction,0.00074918236
summary_clear,0.00057102507
wind_bearing,0.00038799935
cloud_cover,0.0
daily_summary_snow,0.0
summary_snow,0.0
